stego_filename,subset,expected_type,payload_type,payload_size_class,lsb,mode,predicted_type,correct
XL-Synthetic_14_B__exe_small__lsb1.bmp,extended_xl,EXE,EXE,small,1,no_deinterleaving,EXE,1
XL-Synthetic_14_B__exe_small__lsb1.bmp,extended_xl,EXE,EXE,small,1,no_buffer,EXE,1
XL-Synthetic_14_B__exe_small__lsb1.bmp,extended_xl,EXE,EXE,small,1,no_markers,EXE,1
XL-Synthetic_14_B__exe_small__lsb2.bmp,extended_xl,EXE,EXE,small,2,full,EXE,1
XL-Synthetic_14_B__exe_small__lsb2.bmp,extended_xl,EXE,EXE,small,2,no_deinterleaving,UNKNOWN,0
XL-Synthetic_14_B__exe_small__lsb2.bmp,extended_xl,EXE,EXE,small,2,no_buffer,EXE,1
XL-Synthetic_14_B__exe_small__lsb2.bmp,extended_xl,EXE,EXE,small,2,no_markers,EXE,1
XL-Synthetic_14_B__exe_small__lsb3.bmp,extended_xl,EXE,EXE,small,3,full,EXE,1
XL-Synthetic_14_B__exe_small__lsb3.bmp,extended_xl,EXE,EXE,small,3,no_deinterleaving,UNKNOWN,0
XL-Synthetic_14_B__exe_small__lsb3.bmp,extended_xl,EXE,EXE,small,3,no_buffer,EXE,1
XL-Synthetic_14_B__exe_small__lsb3.bmp,extended_xl,EXE,EXE,small,3,no_markers,EXE,1
XL-Synthetic_14_B__pdf_large__lsb1.bmp,extended_xl,PDF,PDF,large,1,full,PDF,1
XL-Synthetic_14_B__pdf_large__lsb1.bmp,extended_xl,PDF,PDF,large,1,no_deinterleaving,PDF,1
XL-Synthetic_14_B__pdf_large__lsb1.bmp,extended_xl,PDF,PDF,large,1,no_buffer,PDF,1
XL-Synthetic_14_B__pdf_large__lsb1.bmp,extended_xl,PDF,PDF,large,1,no_markers,PDF,1
XL-Synthetic_14_B__pdf_large__lsb2.bmp,extended_xl,PDF,PDF,large,2,full,PDF,1
XL-Synthetic_14_B__pdf_large__lsb2.bmp,extended_xl,PDF,PDF,large,2,no_deinterleaving,UNKNOWN,0
XL-Synthetic_14_B__pdf_large__lsb2.bmp,extended_xl,PDF,PDF,large,2,no_buffer,PDF,1
XL-Synthetic_14_B__pdf_large__lsb2.bmp,extended_xl,PDF,PDF,large,2,no_markers,PDF,1
XL-Synthetic_14_B__pdf_large__lsb3.bmp,extended_xl,PDF,PDF,large,3,full,PDF,1
XL-Synthetic_14_B__pdf_large__lsb3.bmp,extended_xl,PDF,PDF,large,3,no_deinterleaving,UNKNOWN,0
XL-Synthetic_14_B__pdf_large__lsb3.bmp,extended_xl,PDF,PDF,large,3,no_buffer,PDF,1
XL-Synthetic_14_B__pdf_large__lsb3.bmp,extended_xl,PDF,PDF,large,3,no_markers,PDF,1
XL-Synthetic_14_B__pdf_medium__lsb1.bmp,extended_xl,PDF,PDF,medium,1,full,PDF,1
XL-Synthetic_14_B__pdf_medium__lsb1.bmp,extended_xl,PDF,PDF,medium,1,no_deinterleaving,PDF,1
